month,top_priority_ids_json,top_anomalies_json,strongest_signal_ids_json,benchmark_summary_json,health_summary_json
2018-05-01,"[{""priority_id"": ""2018-05-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8549}, {""priority_id"": ""2018-05-01_ecommerce_cart_value"", ""priority_rank"": 2, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8367}, {""priority_id"": ""2018-05-01_streaming_subscriptions"", ""priority_rank"": 3, ""priority_title"": ""Engagement Opportunity in Streaming"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""ecommerce"", ""metric_name"": ""other_channels_purchases"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.6207}, {""anomaly_rank"": 2, ""asset_name"": ""fan_app"", ""metric_name"": ""deeplink_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.5}, {""anomaly_rank"": 3, ""asset_name"": ""ecommerce"", ""metric_name"": ""search_organic_purchases"", ""metric_value"": 0.28, ""deviation_from_seasonal_baseline"": -0.3937}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 6, ""avg_gap_to_peer_median"": 703535.3775, ""worst_gap_to_peer_median"": -16009.9462}","{""metric_count"": 59, ""good_count"": 25, ""review_count"": 21, ""stable_count"": 13, ""avg_abs_deviation"": 0.2658}"
2018-06-01,"[{""priority_id"": ""2018-06-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 1.0}, {""priority_id"": ""2018-06-01_ecommerce_cart_value"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.88}, {""priority_id"": ""2018-06-01_ecommerce_visits"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.84}]","[{""anomaly_rank"": 1, ""asset_name"": ""ecommerce"", ""metric_name"": ""social_organic_purchases"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.8248}, {""anomaly_rank"": 2, ""asset_name"": ""fan_app"", ""metric_name"": ""app_push_visits"", ""metric_value"": 0.06, ""deviation_from_seasonal_baseline"": -0.7568}, {""anomaly_rank"": 3, ""asset_name"": ""main_website"", ""metric_name"": ""logged_users"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.625}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 6, ""avg_gap_to_peer_median"": 307153.9819, ""worst_gap_to_peer_median"": -2398.8068}","{""metric_count"": 59, ""good_count"": 18, ""review_count"": 27, ""stable_count"": 14, ""avg_abs_deviation"": 0.2449}"
2018-07-01,"[{""priority_id"": ""2018-07-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.9925}, {""priority_id"": ""2018-07-01_ecommerce_net_sales"", ""priority_rank"": 2, ""priority_title"": ""Engagement Opportunity in Ecommerce"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.8}, {""priority_id"": ""2018-07-01_streaming_subscriptions"", ""priority_rank"": 3, ""priority_title"": ""Engagement Opportunity in Streaming"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""fan_app"", ""metric_name"": ""matchday_visits"", ""metric_value"": 16068.8003, ""deviation_from_seasonal_baseline"": -0.8995}, {""anomaly_rank"": 2, ""asset_name"": ""fan_app"", ""metric_name"": ""app_push_visits"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.8776}, {""anomaly_rank"": 3, ""asset_name"": ""fan_app"", ""metric_name"": ""other_channel_visits"", ""metric_value"": 0.05, ""deviation_from_seasonal_baseline"": -0.5349}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 4, ""avg_gap_to_peer_median"": 885347.3313, ""worst_gap_to_peer_median"": -1.7489}","{""metric_count"": 59, ""good_count"": 34, ""review_count"": 17, ""stable_count"": 8, ""avg_abs_deviation"": 0.3273}"
2018-08-01,"[{""priority_id"": ""2018-08-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 1.0}, {""priority_id"": ""2018-08-01_ecommerce_net_sales"", ""priority_rank"": 2, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8}, {""priority_id"": ""2018-08-01_streaming_subscriptions"", ""priority_rank"": 3, ""priority_title"": ""Engagement Opportunity in Streaming"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.7482}]","[{""anomaly_rank"": 1, ""asset_name"": ""fan_app"", ""metric_name"": ""other_channel_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.8992}, {""anomaly_rank"": 2, ""asset_name"": ""ecommerce"", ""metric_name"": ""other_channels_purchases"", ""metric_value"": 0.04, ""deviation_from_seasonal_baseline"": -0.5556}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""social_organic_plays"", ""metric_value"": 0.32, ""deviation_from_seasonal_baseline"": -0.4545}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 4, ""avg_gap_to_peer_median"": 423383.6464, ""worst_gap_to_peer_median"": -4.2674}","{""metric_count"": 59, ""good_count"": 30, ""review_count"": 20, ""stable_count"": 9, ""avg_abs_deviation"": 0.2647}"
2018-09-01,"[{""priority_id"": ""2018-09-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 1.0}, {""priority_id"": ""2018-09-01_streaming_daily_users"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.88}, {""priority_id"": ""2018-09-01_streaming_unique_visitors"", ""priority_rank"": 3, ""priority_title"": ""Growth Risk in Streaming"", ""priority_category"": ""growth risk"", ""priority_score"": 0.84}]","[{""anomaly_rank"": 1, ""asset_name"": ""fan_app"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.8182}, {""anomaly_rank"": 2, ""asset_name"": ""streaming"", ""metric_name"": ""streamers"", ""metric_value"": 20758.3779, ""deviation_from_seasonal_baseline"": -0.7459}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""subscriptions"", ""metric_value"": 5604.762, ""deviation_from_seasonal_baseline"": -0.7278}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 7, ""avg_gap_to_peer_median"": 292326.942, ""worst_gap_to_peer_median"": -105039.1204}","{""metric_count"": 59, ""good_count"": 22, ""review_count"": 30, ""stable_count"": 7, ""avg_abs_deviation"": 0.3225}"
2018-10-01,"[{""priority_id"": ""2018-10-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.9107}, {""priority_id"": ""2018-10-01_streaming_daily_users"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.88}, {""priority_id"": ""2018-10-01_ecommerce_net_sales"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""main_website"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.012, ""deviation_from_seasonal_baseline"": -0.8943}, {""anomaly_rank"": 2, ""asset_name"": ""main_website"", ""metric_name"": ""other_channels_visits"", ""metric_value"": 0.008, ""deviation_from_seasonal_baseline"": -0.8943}, {""anomaly_rank"": 3, ""asset_name"": ""fan_app"", ""metric_name"": ""other_channel_visits"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.814}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 5, ""avg_gap_to_peer_median"": 369980.5202, ""worst_gap_to_peer_median"": -1881.4749}","{""metric_count"": 59, ""good_count"": 20, ""review_count"": 32, ""stable_count"": 7, ""avg_abs_deviation"": 0.3154}"
2018-11-01,"[{""priority_id"": ""2018-11-01_ecommerce_cart_value"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.88}, {""priority_id"": ""2018-11-01_ecommerce_conversion_rate"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.8717}, {""priority_id"": ""2018-11-01_streaming_daily_users"", ""priority_rank"": 3, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.84}]","[{""anomaly_rank"": 1, ""asset_name"": ""streaming"", ""metric_name"": ""streamers"", ""metric_value"": 16071.0897, ""deviation_from_seasonal_baseline"": -0.7837}, {""anomaly_rank"": 2, ""asset_name"": ""streaming"", ""metric_name"": ""subscriptions"", ""metric_value"": 5464.1705, ""deviation_from_seasonal_baseline"": -0.7041}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""unique_visitors"", ""metric_value"": 187308.7373, ""deviation_from_seasonal_baseline"": -0.6943}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 5, ""avg_gap_to_peer_median"": 285002.5369, ""worst_gap_to_peer_median"": -3640.0541}","{""metric_count"": 59, ""good_count"": 24, ""review_count"": 25, ""stable_count"": 10, ""avg_abs_deviation"": 0.2779}"
2018-12-01,"[{""priority_id"": ""2018-12-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 1.0}, {""priority_id"": ""2018-12-01_ecommerce_cart_value"", ""priority_rank"": 2, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.88}, {""priority_id"": ""2018-12-01_streaming_subscriptions"", ""priority_rank"": 3, ""priority_title"": ""Resilience Concern in Streaming"", ""priority_category"": ""resilience concern"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""ecommerce"", ""metric_name"": ""other_channels_purchases"", ""metric_value"": 0.04, ""deviation_from_seasonal_baseline"": -0.5385}, {""anomaly_rank"": 2, ""asset_name"": ""ecommerce"", ""metric_name"": ""search_organic_purchases"", ""metric_value"": 0.23, ""deviation_from_seasonal_baseline"": -0.4599}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""subscriptions"", ""metric_value"": 10171.222, ""deviation_from_seasonal_baseline"": -0.4394}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 5, ""avg_gap_to_peer_median"": 328744.2401, ""worst_gap_to_peer_median"": -2.0757}","{""metric_count"": 59, ""good_count"": 27, ""review_count"": 20, ""stable_count"": 12, ""avg_abs_deviation"": 0.2643}"
2019-01-01,"[{""priority_id"": ""2019-01-01_ecommerce_cart_value"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.88}, {""priority_id"": ""2019-01-01_ecommerce_conversion_rate"", ""priority_rank"": 2, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.864}, {""priority_id"": ""2019-01-01_ecommerce_net_sales"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""streaming"", ""metric_name"": ""marketing_plays"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.6436}, {""anomaly_rank"": 2, ""asset_name"": ""ecommerce"", ""metric_name"": ""other_channels_purchases"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.6289}, {""anomaly_rank"": 3, ""asset_name"": ""ecommerce"", ""metric_name"": ""marketing_purchases"", ""metric_value"": 0.13, ""deviation_from_seasonal_baseline"": -0.6268}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 5, ""avg_gap_to_peer_median"": 401502.0293, ""worst_gap_to_peer_median"": -1.677}","{""metric_count"": 59, ""good_count"": 23, ""review_count"": 25, ""stable_count"": 11, ""avg_abs_deviation"": 0.2849}"
2019-02-01,"[{""priority_id"": ""2019-02-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 1.0}, {""priority_id"": ""2019-02-01_ecommerce_cart_value"", ""priority_rank"": 2, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.88}, {""priority_id"": ""2019-02-01_ecommerce_net_sales"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""ecommerce"", ""metric_name"": ""net_sales"", ""metric_value"": 302617.7077, ""deviation_from_seasonal_baseline"": -0.7039}, {""anomaly_rank"": 2, ""asset_name"": ""streaming"", ""metric_name"": ""marketing_plays"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.6471}, {""anomaly_rank"": 3, ""asset_name"": ""fan_app"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.6308}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 4, ""avg_gap_to_peer_median"": 416903.0998, ""worst_gap_to_peer_median"": -1.6891}","{""metric_count"": 59, ""good_count"": 19, ""review_count"": 27, ""stable_count"": 13, ""avg_abs_deviation"": 0.2537}"
